huc12,HUC12_Name
020700050903,Stony Run-South Fork Shenandoah River
020700050904,Hawksclaw Creek-South Fork Shenandoah River
020700050905,Mill Creek-South Fork Shenandoah River
020700050906,East Hawksbill Creek-Hawksbill Creek
020700050907,Pass Run-Hawksbill Creek
020700051001,Jeremys Run-South Fork Shenandoah River
020700051002,Brown Hollow Run-South Fork Shenandoah River
020700051003,Gooney Run
020700051004,Punches Run-South Fork Shenandoah River
020700051005,Happy Creek
020700060101,German River
020700060102,Crab Run
020700060103,Capon Run-North Fork Shenandoah River
020700060104,Little Dry River
020700060105,Shoemaker River
020700060106,Runion Creek-North Fork Shenandoah River
020700060201,Dry Fork
020700060202,Mountain Run-Smith Creek
020700060203,War Branch-Smith Creek
020700060204,Gap Creek-Smith Creek
020700060301,Turley Creek-North Fork Shenandoah River
020700060302,Linville Creek
020700060303,Long Meadow-North Fork Shenandoah River
020700060304,Holmans Creek-North Fork Shenandoah River
020700060305,Crooked Run-Mill Creek
020700060306,Mt Jackson-North Fork Shenandoah River
020700060401,Riles Run-Stony Creek
020700060402,Yellow Spring Run-Stony Creek
020700060403,Painter Run-Stony Creek
020700060501,Narrow Passage Creek-North Fork Shenandoah River
020700060502,Toms Brook-North Fork Shenandoah River
020700060503,Tumbling Run-North Fork Shenandoah River
020700060601,Paddy Run-Cedar Creek
020700060602,Duck Run-Cedar Creek
020700060603,Fall Run
020700060604,Froman Run-Cedar Creek
020700060605,Meadow Brook-Cedar Creek
020700060701,Upper Passage Creek
020700060702,Lower Passage Creek
020700060703,Molly Booth Run-North Fork Shenandoah River
020700070101,Crooked Run
020700070102,Manassas Run-Shenandoah River
020700070103,Borden Marsh Run-Shenandoah River
020700070104,Long Branch-Shenandoah River
020700070105,Spout Run
020700070201,Chapel Run-Shenandoah River
020700070202,Dog Run-Shenandoah River
020700070203,Long Marsh Run
020700070301,Bullskin Run
020700070303,Furnace Run-Shenandoah River
020700070304,Flowing Springs Run-Shenandoah River
020700080202,Piney Run-Potomac River
020700080301,South Fork Catoctin Creek
020700080302,Catoctin Creek
020700080401,Tuscarora Creek-Potomac River
020700080403,Limestone Branch-Potomac River
020700080501,Mitchells Branch-Goose Creek
020700080502,Crooked Run-Goose Creek
020700080503,Panther Skin Creek
020700080504,Cromwells Run
020700080505,Wancopin Creek-Goose Creek
020700080601,Beaverdam Creek
020700080602,North Fork Goose Creek
020700080701,Little River
020700080702,Big Branch-Goose Creek
020700080703,Sycolin Creek
020700080704,Cattail Branch-Goose Creek
020700080901,Lenah Run-Broad Run
020700080902,Horsepen Run
020700080903,Beaverdam Run-Broad Run
020700080904,Selden Island-Potomac River
020700080905,Sugarland Run
020700081004,Difficult Run
020700081005,Nichols Run-Potomac River
020700100102,Lower Rock Creek
020700100103,Pimmit Run-Potomac River
020700100301,Fourmile Run-Potomac River
020700100302,Cameron Run
020700100306,Dogue Creek
020700100307,Little Hunting Creek-Potomac River
020700100401,Pohick Creek
020700100402,Accotink Creek
020700100501,Trapp Branch-Broad Run
020700100502,Catletts Branch-Broad Run
020700100503,Kettle Run
020700100504,Rocky Branch-Broad Run
020700100601,Mill Run-Cedar Run
020700100602,Owl Run-Cedar Run
020700100603,Licking Run
020700100604,Walnut Branch-Cedar Run
020700100605,Town Run
020700100606,Slate Run-Cedar Run
020700100701,Upper Bull Run
020700100702,Little Bull Run
020700100703,Middle Bull Run
020700100704,Cub Run
020700100705,Lower Bull Run
020700100801,Lake Jackson-Occoquan River
020700100802,Occoquan Reservoir-Occoquan River
020700100803,Belmont Bay-Occoquan River
020700100804,Neabsco Creek
020700100805,Occoquan Bay-Potomac River
020700110103,Powells Creek
020700110104,Quantico Creek
020700110105,Chopawamsic Creek
020700110106,Tank Creek-Potomac River
020700110201,Beaverdam Run
020700110202,Upper Aquia Creek
020700110203,Lower Aquia Creek
020700110204,Accokeek Creek
020700110205,Long Branch-Potomac Creek
020700110206,Beaverdam Creek-Potomac Creek
020700110207,Passapatanzy Creek-Potomac River
020700110303,Chotank Creek-Potomac River
020700110305,Gambo Creek-Potomac River
020700110601,Upper Machodoc Creek
020700110602,Rosier Creek-Potomac River
020700110603,Mattox Creek
020700110604,Popes Creek-Potomac River
020700110801,Nomini Creek
020700110802,Nomini Bay-Potomac River
020700110803,Lower Machodoc Creek-Potomac River
020700110804,Yeocomico River
020700110805,Coan River
020700110806,Hull Creek-Potomac River
020700111001,Potomac River Channel
020801010000,Lower Chesapeake Bay
020801020101,Little Wicomico River
020801020102,Great Wicomico River
020801020103,Cockrell Creek-Lower Chesapeake Bay
020801020104,Dividing Creek-Lower Chesapeake Bay
020801020105,Fleets Bay-Lower Chesapeake Bay
020801020201,Dragon Run-Dragon Swamp
020801020202,Exol Swamp
020801020203,Timber Branch Swamp-Dragon Swamp
020801020204,Meggs Bay-Dragon Swamp
020801020301,Carvers Creek-Piankatank River
020801020302,Hills Bay-Piankatank River
020801020303,Milford Haven-Lower Chesapeake Bay
020801020401,Beaverdam Swamp
020801020402,Crany Creek-Fox Mill Run
020801020403,Ware River
020801020404,North River
020801020405,East River
020801020406,Winter Harbor-Lower Chesapeake Bay
020801020407,Severn River
020801030101,Buck Run-Rappahannock River
020801030102,Jordan River
020801030103,Lake Mosby-Rappahannock River
020801030104,Thumb Run
020801030201,Glascock Run-Rappahannock River
020801030202,Carter Run
020801030203,Great Run-Rappahannock River
020801030301,Piney River-Thornton River
020801030302,Covington River
020801030303,Battle Run
020801030304,Mill Run-Thornton River
020801030401,Hughes River
020801030402,Sams Run-Hazel River
020801030403,Devils Run-Hazel River
020801030404,Muddy Run
020801030405,Indian Run-Hazel River
020801030501,Hiders Branch-Mountain Run
020801030502,Jonas Run
020801030503,Flat Run-Mountain Run
020801030601,Marsh Run
020801030602,Ruffans Run-Rappahannock River
020801030603,Rock Run-Rappahannock River
020801030604,Deep Run-Rappahannock River
020801030701,Garth Run-Rapidan River
020801030702,Conway River
020801030703,South River-Rapidan River
020801030801,Marsh Run-Rapidan River
020801030802,Blue Run
020801030803,Beautiful Run
020801030804,Poplar Run-Rapidan River
020801030901,Rose River-Robinson River
020801030902,Leathers Run-Robinson River
020801030903,White Oak Run
020801030904,Deep Run-Robinson River
020801030905,Crooked Run
020801030906,Great Run-Robinson River
020801031001,Rapidan-Rapidan River
020801031002,Cedar Run
020801031003,Potato Run-Rapidan River
020801031101,Mill Run-Mountain Run
020801031102,Mine Run
020801031103,Fields Run-Rapidan River
020801031104,Wilderness Run
020801031105,Hazel Run-Rapidan River
020801040101,Motts Run-Rappahannock River
020801040102,Hazel Run-Rappahannock River
020801040103,Massaponax Creek
020801040104,Muddy Creek-Rappahannock River
020801040201,Mount Creek-Rappahannock River
020801040202,Mill Creek
020801040203,Goldenvale Creek-Rappahannock River
020801040301,Portobago Creek-Rappahannock River
020801040302,Elmwood Creek
020801040303,Peedee Creek-Rappahannock River
020801040304,Occupacia Creek
020801040305,Brockenbrough Creek-Rappahannock River
020801040401,The Big Swamp-Cat Point Creek
020801040402,Menokin Bay-Cat Point Creek
020801040403,Mount Landing Creek
020801040404,Hoskins Creek
020801040405,Piscataway Creek
020801040406,Little Carter Creek-Rappahannock River
020801040501,Little Totuskey Creek
020801040502,Totuskey Creek
020801040503,Farnham Creek
020801040504,Cedar Creek-Rappahannock River
020801040601,Lancaster Creek
020801040602,Parrotts Creek-Rappahannock River
020801040603,Lagrange Creek-Rappahannock River
020801040701,Western Branch Corrotoman River
020801040702,Eastern Branch Corrotoman River
020801040703,Taylor Creek-Corrotoman River
020801040704,Carter Creek-Rappahannock River
020801040705,Locklies Creek-Rappahannock River
020801050101,Ni River
020801050102,Robertson Run-Po River
020801050103,Glady Run
020801050104,Lake Pocahontas-Po River
020801050105,Poni River
020801050201,Mat River
020801050202,Ta River
020801050203,Matta River
020801050204,South River
020801050205,Campbell Creek-Mattaponi River
020801050301,Polecat Creek
020801050302,Reedy Creek
020801050303,Union Swamp-Mattaponi River
020801050401,Jacks Creek-Maracossic Creek
020801050402,Beverly Run
020801050403,Doctors Creek-Maracossic Creek
020801050501,Chapel Creek
020801050502,Gravel Run-Mattaponi River
020801050503,Herring Creek
020801050504,Aylett Creek-Mattaponi River
020801050601,Garnetts Creek
020801050602,Courthouse Creek-Mattaponi River
020801050603,Heartquake Creek-Mattaponi River
020801050604,Cabin Creek-Mattaponi River
020801060101,Dove Fork-South Anna River
020801060102,Wheeler Creek
020801060103,Roundabout Creek-South Anna River
020801060201,Harris Creek-South Anna River
020801060202,Fork Creek-South Anna River
020801060203,Cub Creek
020801060204,Owens Creek-South Anna River
020801060301,Taylors Creek
020801060302,Turkey Creek-South Anna River
020801060303,Newfound River
020801060304,Cedar Creek-South Anna River
020801060401,Mountain Run-North Anna River
020801060402,Hickory Creek
020801060403,Gold Mine Creek
020801060404,Christopher Creek-North Anna River
020801060501,Clear Creek-Pamunkey Creek
020801060502,Terrys Run
020801060503,Plentiful Creek-Pamunkey Creek
020801060601,Contrary Creek
020801060602,Pigeon Run-Lake Anna
020801060603,Elk Creek-Lake Anna
020801060701,Upper Little River
020801060702,Lower Little River
020801060801,Northeast Creek
020801060802,Hawkins Creek-North Anna River
020801060803,Long Creek-North Anna River
020801060901,Mechumps Creek-Pamunkey River
020801060902,Crump Creek
020801060903,Judy Swamp-Pamunkey River
020801060904,Totopotomoy Creek
020801061001,Hollyfield Pond-Pamunkey River
020801061002,Moncuin Creek
020801061003,Black Creek
020801061004,Montague Creek-Pamunkey River
020801061005,Jacks Creek
020801061101,Cohoke Mill Creek-Pamunkey River
020801061102,Mill Creek-Pamunkey River
020801070101,Ware Creek
020801070102,Philbates Creek-York River
020801070103,Poropotank River
020801070104,Skimino Creek-York River
020801070201,Jones Creek-York River
020801070202,Queen Creek
020801070203,Carter Creek-York River
020801070204,Sarah Creek-York River
020801080101,Poquoson River-Lower Chesapeake Bay
020801080102,Northwest Branch Back River
020801080103,Southwest Branch Back River
020801080104,Back River-Lower Chesapeake Bay
020801080201,Lynnhaven River
020801080202,Little Creek-Lower Chesapeake Bay
020801110303,Cypress Swamp-Pocomoke River
020801110401,Pitts Creek
020801110402,Bullbegger Creek-Pocomoke River
020801110501,Marumsco Creek-Pocomoke Sound
020801110502,East Creek-Pocomoke Sound
020801110601,Beasley Bay-Messongo Creek
020801110602,Guilford Creek-Beasley Bay
020801110702,Deep Creek-The Thorofare
020801110703,Chesconessex Creek-Onancock Creek
020801110801,Pungoteague Creek-Lower Chesapeake Bay
020801110802,Nandua Creek-Lower Chesapeake Bay
020801110803,Occohannock Creek-Lower Chesapeake Bay
020801110804,Warehouse Creek-Nassawadox Creek
020801110901,Hungars Creek-Lower Chesapeake Bay
020801110902,Cherrystone Inlet-Lower Chesapeake Bay
020802010101,Dry Branch-Jackson River
020802010102,Bolar Run-Jackson River
020802010103,Warm Springs Run-Jackson River
020802010201,East Back Creek-Back Creek
020802010202,Jim Dave Run-Back Creek
020802010203,Little Back Creek
020802010204,Cummings Run-Back Creek
020802010205,Lake Moomaw-Jackson River
020802010301,Sweet Springs Creek-Cove Creek
020802010302,Cove Run-Dunlap Creek
020802010303,Johnsons Creek-Ogle Creek
020802010304,Jerrys Run-Dunlap Creek
020802010401,South Fork Potts Creek-North Fork Potts Creek
020802010402,Trout Branch-Potts Creek
020802010403,Mill Branch-Potts Creek
020802010404,Cast Steel Run-Potts Creek
020802010405,Hays Creek-Potts Creek
020802010501,Hot Springs Run-Cedar Creek
020802010502,Falling Spring Creek-Jackson River
020802010503,Indian Draft-Jackson River
020802010504,Pounding Mill Creek-Jackson River
020802010505,Karnes Creek-White Rock Creek
020802010506,Wilson Creek
020802010507,Smith Creek-Jackson River
020802010601,Wolfe Draft-Cowpasture River
020802010602,Shaws Fork
020802010603,Benson Run-Cowpasture River
020802010604,Davis Run-Bullpasture River
020802010605,Crab Run-Bullpasture River
020802010701,Scotchtown Draft-Cowpasture River
020802010702,Dry Run
020802010703,Thompson Creek-Cowpasture River
020802010704,Lick Run-Stuart Run
020802010801,Mill Creek-Cowpasture River
020802010802,Pads Creek
020802010803,Simpson Creek-Cowpasture River
020802010901,Big Creek-James River
020802010902,Sinking Creek
020802010903,Smith Branch-Mill Creek
020802010904,Black Lick-James River
020802011001,Trout Creek-Craig Creek
020802011002,Meadow Creek
020802011003,Broad Run-Craig Creek
020802011101,Upper Johns Creek
020802011102,Lower Johns Creek
020802011201,Rolands Run Branch-Craig Creek
020802011202,Barbours Creek
020802011203,Mill Creek-Craig Creek
020802011204,Patterson Creek
020802011205,Roaring Run-Craig Creek
020802011301,Little Catawba Creek-Catawba Creek
020802011302,Town Branch-Catawba Creek
020802011401,Lapsley Run-James River
020802011402,Hickory Hollow Branch-James River
020802011403,Mill Creek-Looney Creek
020802011501,Purgatory Creek-James River
020802011502,North Creek-Jennings Creek
020802011503,Roaring Run-James River
020802011504,Spring Gap Creek-Cedar Creek
020802011505,Elk Creek-James River
020802020101,Chair Draft-Calfpasture River
020802020102,Ramseys Draft
020802020103,Holloway Draft-Calfpasture River
020802020104,Hamilton Branch
020802020105,Fridley Branch-Calfpasture River
020802020106,Cabin Creek-Mill Creek
020802020107,Brattons Run
020802020108,Guys Run-Calfpasture River
020802020201,Upper Little Calfpasture River
020802020202,Lower Little Calfpasture River
020802020203,Taylor Branch-Maury River
020802020204,Walker Creek
020802020205,Hays Creek
020802020301,Alone Mill Creek-Maury River
020802020302,Kerrs Creek
020802020303,Mill Creek-Maury River
020802020401,Saint Marys River
020802020402,Upper South River
020802020403,Irish Creek
020802020404,Lower South River
020802020501,Bennetts Run-Maury River
020802020502,South Buffalo Creek
020802020503,North Buffalo Creek
020802020504,Colliers Creek
020802020505,Buffalo Creek
020802020506,Poague Run-Maury River
020802030101,Otter Creek-James River
020802030102,Reed Creek
020802030103,Thomas Mill Creek-James River
020802030201,Lynchburg Reservoir-Pedlar River
020802030202,Browns Creek-Pedlar River
020802030203,Horsley Creek-Pedlar River
020802030301,Judith Creek-James River
020802030302,Harris Creek
020802030303,Cheese Creek-Ivy Creek
020802030304,Blackwater Creek
020802030305,Opossum Creek-James River
020802030306,Beaver Creek
020802030401,Archer Creek-James River
020802030402,Stonewall Creek-James River
020802030403,Christian Mill Creek-James River
020802030404,Wreck Island Creek
020802030405,Allens Creek-James River
020802030406,Bent Creek
020802030501,South Fork Tye River-North Fork Tye River
020802030502,Cub Creek-Tye River
020802030503,Hat Creek
020802030504,Black Creek-Tye River
020802030505,Little Piney River-Piney River
020802030506,Naked Creek-Piney River
020802030601,North Fork Buffalo River-Buffalo River
020802030602,Stonewall Creek-Buffalo River
020802030603,Rutledge Creek
020802030604,Rocky Creek-Buffalo River
020802030701,Brown Creek-Tye River
020802030702,Rucker Run
020802030703,Joe Creek-Tye River
020802030801,David Creek
020802030802,Alabama Creek-James River
020802030803,Mallorys Creek-James River
020802030804,Sycamore Creek-James River
020802030901,North Fork Rockfish River
020802030902,South Fork Rockfish River
020802030903,Buck Creek-Rockfish River
020802031001,Hickory Creek-Cove Creek
020802031002,Dutch Creek-Rockfish River
020802031003,Beaver Creek-Rockfish River
020802031101,Ballinger Creek-James River
020802031102,Rock Island Creek-James River
020802031103,Totier Creek
020802031104,Little George Creek-James River
020802031201,North Fork Hardware River
020802031202,South Fork Hardware River
020802031203,Turkey Run-Hardware River
020802031204,Woodson Creek-Hardware River
020802031301,Grease Creek-Slate River
020802031302,Meadow Creek-North River
020802031303,Horsepen Creek-Slate River
020802031304,Ripley Creek-Walton Fork
020802031401,Joshua Creek-Slate River
020802031402,Sharps Creek-Slate River
020802031403,Hunts Creek-Slate River
020802031501,Bremo Creek-James River
020802031502,Bear Garden Creek-James River
020802040101,Stockton Creek-Mechums River
020802040102,Beaver Creek-Mechums River
020802040103,North Moormans River-Moormans River
020802040104,Doyles River
020802040105,Wards Creek-Moormans River
020802040201,Buck Mountain Creek
020802040202,Little Ivy Creek-Ivy Creek
020802040203,South Fork Rivanna River
020802040301,Lynch River-North Fork Rivanna River
020802040302,Swift Run
020802040303,Jacobs Run-North Fork Rivanna River
020802040304,Preddy Creek
020802040305,Flannigan Branch-North Fork Rivanna River
020802040401,Meadow Creek-Rivanna River
020802040402,Moores Creek
020802040403,Buck Island Creek
020802040404,Carroll Creek-Rivanna River
020802040405,Mechunk Creek
020802040501,Stigger Creek-Rivanna River
020802040502,Cunningham Creek
020802040503,Ballinger Creek
020802040504,Carys Creek-Rivanna River
020802050101,Upper Byrd Creek
020802050102,Middle Byrd Creek
020802050103,Lower Byrd Creek
020802050201,Bishop Creek-Willis River
020802050202,Whispering Creek-Willis River
020802050203,Little Willis River
020802050204,Buffalo Creek-Willis River
020802050205,Hatcher Creek
020802050301,Bonbrook Creek-Willis River
020802050302,Randolph Creek
020802050303,Trice Lake-Willis River
020802050401,Hooper Rock Creek-James River
020802050402,Muddy Creek
020802050403,Picketts Creek-James River
020802050404,Maxey Mill Creek-Deep Creek
020802050405,Sallee Creek-Deep Creek
020802050501,Solomons Creek-James River
020802050502,Little Lickinghole Creek
020802050503,Big Lickinghole Creek
020802050504,Mohawk Creek-James River
020802050505,Beaverdam Creek
020802050601,Fine Creek-James River
020802050602,Norwood Creek
020802050603,Little River-James River
020802050604,Bernards Creek-James River
020802050605,Tuckahoe Creek
020802050606,East Branch Tuckahoe Creek-James River
020802050607,Little Westham Creek-James River
020802060101,Almond Creek-James River
020802060102,Falling Creek
020802060103,Proctors Creek-James River
020802060104,Fourmile Creek
020802060105,Turkey Island Creek
020802060106,Curles Creek-James River
020802060201,Bailey Creek-James River
020802060202,Powell Creek
020802060203,Herring Creek
020802060204,Courthouse Creek-Queens Creek
020802060205,Flowerdew Hundred Creek-James River
020802060301,Wards Creek
020802060302,Kittewan Creek-James River
020802060303,Upper Chippokes Creek
020802060304,Sunken Meadow Pond-James River
020802060401,Grassy Swamp Creek-Chickahominy River
020802060402,Stony Run-Chickahominy River
020802060403,Upham Brook
020802060501,Powhite Creek-Chickahominy River
020802060502,Higgins Swamp-Chickahominy River
020802060503,White Oak Swamp
020802060504,Toe Ink Swamp-Chickahominy River
020802060505,Rumley Marsh-Chickahominy River
020802060506,Big Swamp-Chickahominy River
020802060601,Barrows Creek-Chickahominy River
020802060602,Diascund Creek Reservoir-Diascund Creek
020802060603,Mill Creek-Diascund Creek
020802060604,Yarmouth Creek-Chickahominy River
020802060605,Morris Creek-Chickahominy River
020802060701,Broad Swamp-James River
020802060702,Powhatan Creek
020802060703,Grays Creek
020802060704,Lower Chippokes Creek-James River
020802060801,College Creek
020802060802,Skiffes Creek-James River
020802060803,Lawnes Creek
020802060804,Morrisons Creek-James River
020802060901,Warwick River
020802060902,Warren Creek-Pagan River
020802060903,Cypress Creek
020802060904,Jones Creek-Pagan River
020802060905,Chuckatuck Creek
020802060906,Cooper Creek-James River
020802070101,Spring Creek
020802070102,Little Buffalo Creek-Buffalo Creek
020802070103,Locket Creek-Buffalo Creek
020802070201,Wolf Creek-Appomattox River
020802070202,Suanee Creek-Appomattox River
020802070203,Fishpond Creek-Appomattox River
020802070204,Vaughans Creek
020802070205,Ducker Creek-Appomattox River
020802070206,Bad Luck Branch-Appomattox River
020802070301,Briery Creek
020802070302,Evans Creek-Bush River
020802070303,Mountain Creek
020802070304,Millers Creek-Bush River
020802070305,Sandy River
020802070401,Saylers Creek
020802070402,Angola Creek-Appomattox River
020802070403,Sandy Creek-Appomattox River
020802070404,Big Guinea Creek
020802070405,Little Guinea Creek-Appomattox River
020802070406,Stock Creek
020802070501,Little Creek-Flat Creek
020802070502,Beaverpond Creek-Flat Creek
020802070503,Nibbs Creek
020802070504,Haw Branch-Flat Creek
020802070601,Bent Creek-Appomattox River
020802070602,Rocky Ford Creek
020802070603,Skinquarter Creek-Appomattox River
020802070604,Smacks Creek-Appomattox River
020802070701,Little Creek-Deep Creek
020802070702,Cellar Creek
020802070703,West Creek
020802070704,Sweathouse Creek-Deep Creek
020802070705,Beaverpond Creek-Deep Creek
020802070801,Winticomack Creek-Appomattox River
020802070802,Winterpock Creek
020802070803,Nooning Creek-Appomattox River
020802070804,Namozine Creek
020802070805,Whipponock Creek
020802070806,Cattle Creek-Lake Chesdin
020802070901,Swift Creek Reservoir-Swift Creek
020802070902,Third Branch-Swift Creek
020802070903,Second Branch-Licking Creek
020802070904,Franks Branch-Swift Creek
020802071001,Oldtown Creek-Appomattox River
020802071002,Ashton Creek-Appomattox River
020802080101,Speights Run-Lake Kilby
020802080102,Cohoon Creek
020802080103,Lake Prince
020802080104,Western Branch Reservoir
020802080105,Cedar Lake-Nansemond River
020802080106,Bennett Creek-Nansemond River
020802080201,New Mill Creek-Southern Branch Elizabeth River
020802080202,Big Entry Ditch-Dismal Swamp
020802080203,Deep Creek-Southern Branch Elizabeth River
020802080204,Eastern Branch Elizabeth River
020802080205,Western Branch Elizabeth River
020802080206,Elizabeth River
020802080301,Streeter Creek-Hampton Roads
020802080302,Willoughby Bay
020802080303,Hampton River-Hampton Roads
030101010101,Lick Fork-Goose Creek
030101010102,Bottom Creek
030101010103,Purgatory Creek-South Fork Roanoke River
030101010104,Elliott Creek
030101010105,Brake Branch-South Fork Roanoke River
030101010201,Dry Run-North Fork Roanoke River
030101010202,Wilson Creek-North Fork Roanoke River
030101010203,Bradshaw Creek-North Fork Roanoke River
030101010301,Sawmill Hallow-Roanoke River
030101010302,Mason Creek
030101010401,Buffalo Creek-Tinker Creek
030101010402,Carvin Creek
030101010403,Glade Creek-Tinker Creek
030101010404,Peters Creek-Roanoke River
030101010405,Back Creek
030101010501,North Fork Blackwater River
030101010502,South Fork Blackwater River
030101010503,Madcap Creek-Blackwater River
030101010504,Maggodee Creek
030101010601,Standiford Creek-Smith Mountain Lake
030101010602,Gills Creek
030101010603,Bull Run-Smith Mountain Lake
030101010701,Lynville Creek-Smith Mountain Lake
030101010702,Beaverdam Creek
030101010703,Stony Creek-Smith Mountain Lake
030101010704,Bettys Creek-Smith Mountain Lake
030101010705,Craddock Creek-Smith Mountain Lake
030101010801,Turners Creek-Pigg River
030101010802,Powder Mill Creek-Pigg River
030101010803,Big Chestnut Creek
030101010804,Owens Creek-Pigg River
030101010901,Crab Creek-Snow Creek
030101010902,Turkeycock Creek
030101010903,Gourd Creek-Snow Creek
030101011001,Tomahawk Creek-Pigg River
030101011002,Fryingpan Creek-Pigg River
030101011101,North Fork Goose Creek-Goose Creek
030101011102,Bore Auger Creek
030101011103,Wolf Creek-Goose Creek
030101011104,Stony Fork
030101011201,Mill Creek-Goose Creek
030101011202,Carter Mill Creek
030101011203,Back Creek-Goose Creek
030101011301,Clay Branch-Leesville Lake
030101011302,Old Womans Creek-Leesville Lake
030101011303,Bishop Creek-Roanoke River
030101011304,Little Sycamore Creek-Sycamore Creek
030101011305,Reed Creek-Roanoke River
030101011401,Stony Creek-Big Otter River
030101011402,North Otter Creek
030101011403,Chestnut Branch-Elk Creek
030101011404,Roaring Run-Big Otter River
030101011405,Machine Creek
030101011406,Johns Creek-Little Otter River
030101011501,Orrix Creek-Big Otter River
030101011502,Buffalo Creek
030101011503,Johnson Creek-Big Otter River
030101011504,Flat Creek
030101011505,Troublesome Creek-Big Otter River
030101020101,Beechtree Creek-Roanoke River
030101020102,Seneca Creek
030101020103,Straightstone Creek
030101020104,Buffalo Creek-Roanoke River
030101020105,Whipping Creek-Roanoke River
030101020201,Reedy Creek-Falling River
030101020202,Mulberry Creek-Falling River
030101020203,Button Creek-South Fork Falling River
030101020204,Mollys Creek
030101020205,Suck Creek-Falling River
030101020206,Entry Creek-Little Falling River
030101020207,Hat Creek-Falling River
030101020301,Big Cub Creek
030101020302,Little Cub Creek
030101020303,Rough Creek-Cub Creek
030101020304,Louse Creek-Cub Creek
030101020401,Childrey Creek-Roanoke River
030101020402,Catawba Creek
030101020403,Turnip Creek
030101020404,Buckskin Creek-Roanoke River
030101020405,Hunting Creek-Roanoke River
030101020501,Spring Creek-Roanoke Creek
030101020502,Ash Camp Creek-Roanoke Creek
030101020503,Wards Fork Creek
030101020504,Twittys Creek
030101020505,Horsepen Creek
030101020506,Lipscomb Branch-Roanoke Creek
030101020601,Sandy Creek-Roanoke River
030101020602,Piney Creek-Difficult Creek
030101020603,Ashcake Creek-Difficult Creek
030101020604,Cargills Creek-Roanoke River
030101020701,Otter Creek-Bluestone Creek
030101020702,Little Bluestone Creek
030101020703,Goodell Creek-Bluestone Creek
030101020704,Sandy Creek-John H Kerr Reservoir
030101020801,Little Grassy Creek
030101020802,Mountain Creek-Grassy Creek
030101020803,Beech Creek-Johnson Creek
